,,A,B,C,D,E,F,Bonus
2023,0,10,14,22,31,40,43,20
2023,1,5,22,23,36,40,41,42
2023,2,5,22,24,29,32,37,31
2023,3,7,9,13,23,34,36,25
2023,4,1,8,20,25,37,46,47
2023,5,2,10,11,21,34,45,19
2023,6,3,24,29,31,38,40,13
2023,7,7,15,17,20,27,43,12
2023,8,2,3,6,21,28,47,32
2023,9,13,17,21,22,37,42,2
2023,10,3,4,23,30,31,43,7
2023,11,4,11,19,22,32,42,45
2023,12,11,13,16,19,37,42,6
2023,13,14,18,24,28,29,39,9
2023,14,2,10,16,25,39,45,3
2023,15,8,24,29,37,41,42,22
2023,16,7,8,9,26,36,42,37
2023,17,7,13,27,30,36,39,2
2023,18,8,13,25,29,31,38,21
2023,19,8,12,16,20,26,35,23
2023,20,3,7,9,11,38,39,1
2023,21,8,9,22,23,29,46,42
2023,22,2,12,16,24,39,40,25
2023,23,23,25,28,32,33,44,29
2023,24,1,6,8,12,13,16,35
2023,25,2,21,28,32,43,45,35
2023,26,20,34,35,36,42,44,13
2023,27,2,5,16,19,41,44,26
2023,28,6,10,21,24,26,29,47
2023,29,3,12,13,27,34,44,43
2023,30,16,17,21,30,35,41,43
2023,31,3,28,29,42,43,46,12
2023,32,5,16,21,29,31,41,40
2023,33,3,7,13,24,25,33,30
2023,34,2,3,26,30,32,45,15
2023,35,6,11,17,37,39,45,47
2023,36,6,18,19,27,39,45,21
2023,37,1,2,12,21,29,44,27
2023,38,6,11,20,21,36,37,1
2023,39,14,27,32,37,41,47,29
2023,40,4,11,17,18,25,32,9
2023,41,1,13,20,21,40,47,6
2023,42,6,7,12,14,38,40,41
2023,43,13,21,24,35,37,46,1
2023,44,1,26,30,42,44,47,19
2023,45,2,3,23,30,34,35,44
2023,46,3,20,24,28,29,31,13
2023,47,12,26,28,34,42,45,14
2023,48,7,10,22,32,37,40,17
2023,49,5,16,17,18,22,28,2
2023,50,4,14,15,18,32,34,3
2023,51,6,8,11,24,42,46,43
2023,52,3,9,18,21,25,34,37
2023,53,11,12,31,35,42,47,4
2023,54,4,8,13,23,28,38,18
2023,55,2,3,21,43,44,46,7
2023,56,1,2,20,35,38,40,37
2023,57,4,5,21,26,27,34,33
2023,58,7,10,11,22,25,37,16
2023,59,5,9,13,29,46,47,33
2023,60,12,30,35,36,38,46,19
2023,61,2,9,24,28,33,43,3
2023,62,3,20,21,25,31,37,29
2023,63,6,7,11,15,25,42,36
2023,64,3,6,10,25,34,39,18
2023,65,2,6,21,32,35,38,19
2023,66,6,26,27,40,41,45,46
2023,67,8,11,12,21,26,37,9
2023,68,3,6,7,10,39,40,43
2023,69,1,15,25,26,27,31,33
2023,70,2,21,26,33,35,43,3
2023,71,6,7,8,22,25,40,11
2023,72,19,21,25,28,38,45,35
2023,73,1,4,7,12,18,32,20
2023,74,5,9,14,27,39,42,47
2023,75,8,9,15,18,22,42,6
2023,76,5,10,14,23,27,31,30
2023,77,11,12,19,24,25,26,34
2023,78,12,14,32,37,40,44,35
2023,79,7,15,22,37,39,41,4
2023,80,1,5,16,17,33,35,8
2023,81,5,9,11,13,24,47,41
2023,82,14,29,36,37,40,46,41
2023,83,13,22,30,33,39,46,31
2023,84,10,17,20,26,31,39,16
2023,85,3,4,8,40,41,44,12
2023,86,1,6,12,23,24,34,10
2023,87,4,6,14,20,22,33,45
2023,88,7,11,20,34,36,45,17
2023,89,1,26,34,35,36,43,22
2023,90,3,11,13,25,35,39,10
2023,91,20,21,25,31,37,39,41
2023,92,3,14,26,27,38,46,39
2023,93,6,13,14,15,26,42,34
2023,94,1,6,15,20,34,38,39
2023,95,4,17,30,34,38,45,15
2023,96,8,12,14,20,27,42,10
2023,97,7,29,32,33,44,46,38
2023,98,1,6,19,39,43,47,32
2023,99,4,20,23,26,35,42,7
2023,100,2,10,16,17,29,47,7
2023,101,9,10,25,32,34,38,23
2023,102,18,29,36,38,40,43,30
