,,A,B,C,D,E,F,Bonus
2017,62,2,5,12,34,41,47,29
2017,63,6,16,21,22,30,45,8
2017,64,11,17,29,30,38,42,16
2017,65,11,32,39,41,42,44,9
2017,66,4,16,33,39,43,47,19
2017,67,7,8,19,29,36,47,17
2017,68,3,7,17,21,22,28,2
2017,69,1,15,24,31,35,36,19
2017,70,3,12,16,21,39,44,47
2017,71,1,16,24,28,39,40,29
2017,72,13,17,18,25,26,27,12
2017,73,8,18,23,29,30,31,47
2017,74,7,9,16,26,40,45,13
2017,75,7,14,18,24,25,31,29
2017,76,2,7,9,35,41,45,22
2017,77,9,10,11,22,30,42,41
2017,78,9,16,31,35,37,43,34
2017,79,1,8,28,38,40,46,33
2017,80,1,4,6,16,18,27,28
2017,81,16,22,30,35,36,47,13
2017,82,9,11,18,24,30,44,46
2017,83,7,9,15,30,37,45,23
2017,84,3,11,32,36,37,38,1
2017,85,11,13,21,31,32,42,16
2017,86,6,12,18,20,41,42,13
2017,87,2,15,19,26,37,38,39
2017,88,2,12,17,29,32,38,20
2017,89,5,9,27,36,38,47,31
2017,90,27,32,44,45,46,47,24
2017,91,3,10,15,17,34,39,31
2017,92,2,16,19,26,28,29,37
2017,93,2,6,9,31,41,47,43
2017,94,10,21,22,26,42,46,35
2017,95,11,13,34,38,40,47,21
2017,96,13,14,22,24,25,42,7
2017,97,6,7,17,20,25,29,34
2017,98,18,21,22,23,24,36,45
2017,99,2,12,24,31,34,43,47
2017,100,2,4,11,22,25,34,7
2017,101,8,12,13,16,19,24,15
2017,102,33,36,39,42,45,47,38
2017,103,6,10,19,21,43,44,3
2018,0,7,13,18,26,27,28,9
2018,1,1,2,30,41,42,43,25
2018,2,5,20,21,24,34,45,22
2018,3,1,5,19,24,27,42,44
2018,4,2,9,23,34,35,38,41
2018,5,1,19,20,29,31,44,11
2018,6,9,15,17,24,41,43,37
2018,7,15,16,17,18,35,43,21
2018,8,16,24,31,39,43,47,17
2018,9,8,9,10,17,20,37,24
2018,10,21,29,31,38,41,42,12
2018,11,9,14,15,18,25,34,44
2018,12,3,4,20,21,37,42,17
2018,13,1,8,14,15,45,47,32
2018,14,7,8,12,22,36,46,31
2018,15,1,8,11,22,28,32,35
2018,16,1,5,6,12,22,46,33
2018,17,6,15,20,29,38,44,41
2018,18,14,24,30,38,40,45,36
2018,19,8,19,24,29,42,45,7
