,,A,B,C,D,E,LStar1,LStar2
2016,71,10,17,31,32,42,2,5
2016,72,17,26,32,34,43,2,10
2016,73,11,14,15,27,44,2,7
2016,74,13,14,32,37,48,1,7
2016,75,1,5,9,22,38,2,10
2016,76,6,8,26,43,49,6,10
2016,77,3,5,9,19,40,2,5
2016,78,2,16,23,25,49,6,9
2016,79,1,4,19,25,36,3,11
2016,80,12,19,36,42,43,5,8
2016,81,12,15,26,42,49,5,8
2016,82,14,19,21,24,49,5,11
2016,83,5,7,10,34,44,2,10
2016,84,1,21,26,40,43,6,9
2016,85,1,8,9,14,23,1,7
2016,86,9,14,16,23,40,1,5
2016,87,4,7,13,28,37,10,11
2016,88,5,13,15,33,50,9,11
2016,89,23,25,32,37,42,1,11
2016,90,13,14,30,32,39,3,9
2016,91,3,10,22,37,50,6,10
2016,92,3,20,28,31,49,2,5
2016,93,6,9,13,28,37,4,5
2016,94,3,27,32,41,46,4,8
2016,95,6,9,10,21,36,2,6
2016,96,1,5,23,29,32,1,7
2016,97,15,24,38,40,48,2,9
2016,98,10,12,27,30,47,8,9
2016,99,2,30,38,43,46,2,7
2016,100,10,19,38,43,46,1,11
2016,101,1,2,10,30,44,1,8
2016,102,5,26,33,35,40,3,8
2016,103,6,10,31,36,39,6,10
2016,104,4,37,38,39,44,4,7
2017,0,4,8,22,23,48,1,12
2017,1,4,17,30,43,44,2,10
2017,2,5,24,30,31,43,3,6
2017,3,8,15,30,38,46,4,7
2017,4,25,30,31,42,50,2,11
2017,5,20,37,39,44,50,4,8
2017,6,4,22,30,32,34,3,4
2017,7,11,36,43,44,48,2,7
2017,8,5,24,29,35,46,11,12
2017,9,1,6,12,18,42,2,7
2017,10,19,24,28,30,50,3,10
2017,11,2,10,14,28,31,5,7
2017,12,20,26,35,36,42,5,12
2017,13,14,16,39,40,41,8,10
2017,14,13,22,29,36,37,1,9
2017,15,7,19,20,37,41,2,12
2017,16,5,12,17,33,41,4,9
2017,17,1,12,36,43,46,3,5
2017,18,3,16,23,32,39,1,4
2017,19,9,11,13,27,33,7,10
2017,20,4,17,23,27,30,3,8
2017,21,13,17,19,26,36,2,3
2017,22,23,29,37,45,50,5,11
2017,23,4,21,34,36,37,3,6
2017,24,1,9,15,19,25,1,7
2017,25,6,24,32,48,50,1,5
2017,26,7,18,19,32,48,3,7
2017,27,1,29,40,41,48,6,12
2017,28,6,11,31,39,42,1,3
2017,29,1,8,21,30,45,2,3
2017,30,13,18,37,44,49,9,12
2017,31,10,17,27,29,35,4,11
2017,32,9,24,42,47,49,1,5
2017,33,6,9,18,28,29,1,9
2017,34,3,7,8,14,49,5,8
2017,35,4,12,15,32,38,1,5
2017,36,1,5,7,15,47,9,12
2017,37,3,10,12,17,27,3,5
2017,38,2,24,39,42,45,2,8
2017,39,10,14,30,35,46,4,10
2017,40,18,28,39,46,48,5,12
2017,41,15,25,26,40,41,4,5
2017,42,29,30,36,40,41,2,9
2017,43,14,21,24,29,30,8,10
2017,44,5,9,29,31,41,2,4
2017,45,12,14,43,44,48,2,11
2017,46,1,8,9,26,49,5,9
2017,47,1,25,27,41,45,5,7
2017,48,11,14,20,21,47,7,10
2017,49,14,22,26,42,50,8,10
2017,50,11,20,35,37,45,3,6
2017,51,10,22,25,37,49,5,8
2017,52,17,35,39,47,50,6,8
2017,53,9,17,21,28,45,1,3
2017,54,3,4,21,31,38,3,7
2017,55,11,18,26,43,44,8,10
2017,56,15,17,38,41,42,9,12
2017,57,3,12,22,27,49,4,11
2017,58,9,20,27,39,43,10,11
2017,59,20,22,25,37,40,3,7
2017,60,8,10,24,33,42,3,9
2017,61,7,12,27,38,48,6,9
2017,62,5,7,26,36,39,2,10
2017,63,8,15,25,27,42,1,4
2017,64,9,11,12,19,30,4,9
2017,65,8,11,15,20,30,3,8
2017,66,2,20,28,29,44,3,9
2017,67,8,12,16,22,26,6,7
2017,68,3,7,30,35,43,1,3
2017,69,6,19,23,25,27,11,12
2017,70,14,20,25,30,39,2,8
2017,71,9,11,19,32,43,3,9
2017,72,2,13,16,22,49,4,5
2017,73,17,22,31,38,45,5,12
2017,74,4,14,20,23,33,6,10
2017,75,5,21,22,31,49,2,8
2017,76,2,10,19,35,50,6,7
2017,77,1,9,24,33,34,2,6
2017,78,17,24,26,28,45,4,12
2017,79,9,13,31,33,46,6,10
2017,80,2,17,21,27,34,5,9
2017,81,1,20,23,44,47,4,11
2017,82,6,10,19,29,36,3,9
2017,83,3,5,21,36,44,3,6
2017,84,31,36,38,47,49,8,11
2017,85,6,37,41,48,50,4,5
2017,86,2,11,29,30,47,1,12
2017,87,10,20,31,35,42,2,12
2017,88,2,4,13,22,43,8,9
2017,89,13,19,41,45,49,3,4
2017,90,19,25,33,36,48,2,9
2017,91,2,10,24,40,44,3,10
2017,92,7,21,26,35,43,2,9
2017,93,4,10,31,38,44,8,10
2017,94,3,4,15,46,50,5,9
2017,95,3,4,17,23,44,6,9
2017,96,17,20,28,45,48,5,9
2017,97,1,5,7,17,23,3,8
2017,98,10,17,27,31,49,3,5
2017,99,4,16,25,43,47,2,10
2017,100,3,7,16,26,50,4,7
2017,101,2,11,29,35,44,4,9
2017,102,10,14,18,21,49,9,11
2017,103,19,23,27,34,49,1,11
2018,0,13,16,34,35,45,10,12
2018,1,4,5,8,31,43,2,9
2018,2,2,12,15,34,50,3,4
2018,3,1,9,18,39,48,5,7
2018,4,12,29,38,42,44,2,12
2018,5,4,7,13,23,42,1,3
2018,6,11,17,26,37,48,1,10
2018,7,19,20,21,42,45,8,9
2018,8,3,10,12,23,26,1,12
2018,9,4,16,17,18,32,2,11
2018,10,5,8,25,26,30,3,10
2018,11,6,19,39,45,48,7,12
2018,12,9,10,13,28,41,1,12
2018,13,2,7,10,13,42,3,6
2018,14,14,17,32,37,49,11,12
2018,15,14,24,36,40,43,2,9
2018,16,5,15,17,37,44,7,11
2018,17,17,23,27,43,44,1,12
2018,18,5,18,21,31,35,6,9
2018,19,1,2,5,21,32,2,12
2018,20,1,3,29,47,48,3,12
2018,21,15,28,37,40,42,1,6
2018,22,4,9,12,31,43,5,8
2018,23,3,12,36,44,45,8,11
2018,24,8,16,24,26,35,3,11
2018,25,7,17,29,37,45,3,11
2018,26,2,4,8,27,50,2,9
2018,27,6,15,20,30,38,4,7
2018,28,5,7,21,25,37,3,4
2018,29,3,8,10,32,45,4,12
2018,30,1,3,33,40,45,3,4
2018,31,9,18,32,38,46,2,3
2018,32,4,23,27,31,50,1,8
2018,33,5,14,28,30,47,4,11
2018,34,4,30,31,38,42,4,6
2018,35,4,16,32,42,46,8,12
2018,36,3,14,31,36,50,1,12
2018,37,16,23,42,43,49,10,12
2018,38,2,15,18,24,43,8,12
2018,39,1,15,18,25,31,9,11
2018,40,18,20,36,43,44,3,9
2018,41,16,28,29,30,36,8,10
2018,42,7,26,36,38,43,6,12
2018,43,20,25,34,42,45,6,11
2018,44,11,17,22,23,41,6,11
2018,45,2,4,23,39,40,3,9
2018,46,2,15,40,43,46,3,6
2018,47,4,6,27,48,50,1,11
2018,48,1,4,14,21,49,2,12
2018,49,3,8,26,33,45,7,10
2018,50,8,30,33,38,48,2,10
2018,51,1,12,15,29,48,3,5
2018,52,15,21,23,40,48,3,12
2018,53,15,16,20,34,50,4,7
2018,54,14,25,39,41,44,2,8
2018,55,7,19,26,42,50,4,9
2018,56,23,26,33,38,49,1,12
2018,57,7,21,23,36,38,6,8
2018,58,8,19,32,43,46,2,8
2018,59,9,15,22,39,46,4,5
2018,60,17,18,24,29,40,4,5
2018,61,6,11,20,38,43,2,4
2018,62,13,15,16,28,41,4,5
2018,63,1,11,37,41,48,8,12
2018,64,5,8,10,13,31,3,6
2018,65,4,16,20,31,39,2,12
2018,66,3,22,34,49,50,8,11
2018,67,17,25,35,39,44,2,5
2018,68,6,12,23,39,45,9,12
2018,69,6,15,17,42,48,4,6
2018,70,12,24,40,41,46,5,12
2018,71,20,23,28,30,44,3,7
2018,72,3,16,25,39,44,7,11
2018,73,15,27,33,39,50,4,6
2018,74,5,25,34,48,50,6,7
2018,75,14,27,39,46,48,11,12
2018,76,1,29,33,45,47,4,8
2018,77,3,8,16,40,43,5,8
2018,78,12,17,28,35,47,7,11
2018,79,17,20,23,40,46,9,10
2018,80,5,7,11,46,50,8,11
2018,81,26,29,37,39,44,9,11
2018,82,4,17,24,27,31,10,11
2018,83,9,11,13,33,49,6,12
2018,84,9,14,21,32,44,1,12
2018,85,15,20,26,31,44,2,9
2018,86,2,7,34,45,48,1,12
2018,87,3,31,41,48,50,8,11
2018,88,10,17,18,28,47,3,7
2018,89,6,14,19,25,29,5,11
2018,90,10,12,23,32,50,4,10
2018,91,10,13,17,21,44,1,10
2018,92,22,31,36,38,44,1,11
2018,93,8,17,28,34,38,6,12
2018,94,14,34,36,39,48,2,3
2018,95,11,15,21,27,35,4,5
2018,96,6,15,24,28,48,4,9
2018,97,5,8,9,23,24,7,8
2018,98,3,8,17,44,50,2,7
2018,99,20,23,31,34,46,3,12
2018,100,13,21,23,30,45,4,6
2018,101,6,12,15,38,49,2,9
2018,102,2,5,20,38,41,4,8
2018,103,10,20,21,28,48,1,8
2019,0,26,31,33,41,48,2,4
2019,1,1,7,22,26,35,5,10
2019,2,3,11,13,14,47,3,6
2019,3,8,24,30,32,34,3,4
2019,4,1,7,12,25,49,6,9
2019,5,9,16,18,23,32,2,10
2019,6,2,10,19,21,47,2,8
2019,7,1,3,27,39,46,1,10
2019,8,18,31,32,38,48,4,12
2019,9,3,7,12,42,50,6,8
2019,10,2,3,15,19,34,5,8
2019,11,3,21,32,34,48,3,11
2019,12,8,10,15,30,42,4,6
2019,13,3,13,20,32,34,4,11
2019,14,1,21,23,25,39,2,4
2019,15,8,17,20,23,45,2,8
2019,16,9,14,25,33,48,2,12
2019,17,2,20,39,44,48,5,7
2019,18,16,18,28,42,49,5,10
2019,19,34,37,39,40,50,4,10
2019,20,2,5,32,33,47,7,8
2019,21,8,18,22,41,42,11,12
2019,22,3,28,31,32,34,4,5
2019,23,2,14,19,42,45,5,6
2019,24,7,10,15,44,49,3,12
2019,25,6,9,35,41,44,6,9
2019,26,2,11,18,40,46,1,4
2019,27,24,37,41,43,46,2,8
2019,28,2,33,42,47,48,1,2
2019,29,8,21,25,38,50,4,8
2019,30,22,37,43,44,45,1,12
2019,31,1,12,27,42,47,6,7
2019,32,3,22,25,30,49,3,6
2019,33,10,13,22,40,48,2,5
2019,34,7,11,38,39,44,7,10
2019,35,25,27,45,46,49,4,6
2019,36,8,26,35,43,47,1,9
2019,37,4,17,35,42,45,2,8
2019,38,20,22,23,24,37,1,4
2019,39,9,10,27,37,42,1,5
2019,40,13,29,31,33,40,2,3
2019,41,2,14,35,41,42,10,11
2019,42,12,13,29,36,38,4,12
2019,43,13,22,33,44,50,2,5
2019,44,15,20,23,27,40,3,6
2019,45,2,5,27,37,42,3,10
2019,46,1,14,19,23,38,3,7
2019,47,13,14,17,26,28,2,7
2019,48,3,5,13,18,39,7,8
2019,49,2,31,39,45,47,4,8
2019,50,7,29,32,36,41,6,7
2019,51,2,9,20,34,42,6,9
2019,52,11,19,29,44,45,8,12
2019,53,1,3,16,33,49,2,11
2019,54,6,26,27,34,46,1,9
2019,55,5,8,9,25,39,3,7
2019,56,12,24,37,40,44,3,7
2019,57,1,13,30,31,39,2,7
2019,58,25,27,39,42,46,11,12
2019,59,1,4,16,20,34,2,5
2019,60,9,31,32,39,41,2,8
2019,61,1,23,24,26,35,1,11
2019,62,7,19,20,28,29,1,5
2019,63,5,16,23,30,49,6,7
2019,64,32,33,34,39,47,8,12
2019,65,16,28,42,43,45,6,7
2019,66,10,14,17,25,50,2,10
2019,67,1,4,27,45,48,1,7
2019,68,7,20,26,32,47,2,11
2019,69,2,9,20,27,43,5,6
2019,70,5,12,20,26,48,2,11
2019,71,14,33,35,47,50,9,11
2019,72,18,23,27,42,44,2,7
2019,73,7,8,32,41,49,5,11
2019,74,1,8,15,44,49,2,11
2019,75,1,28,35,36,46,6,9
2019,76,18,21,29,38,41,1,11
2019,77,1,7,10,29,45,3,5
2019,78,2,9,16,26,36,6,7
2019,79,13,23,26,32,47,6,10
2019,80,12,19,23,43,47,2,6
2019,81,4,17,26,30,43,6,11
2019,82,1,6,9,34,47,7,12
2019,83,3,15,24,42,46,9,12
2019,84,5,7,13,19,31,2,9
2019,85,17,18,19,24,40,4,8
2019,86,6,10,16,39,46,8,11
2019,87,6,9,19,26,31,11,12
2019,88,3,15,29,35,47,3,4
2019,89,3,27,29,33,50,3,7
2019,90,1,8,18,19,39,7,9
2019,91,15,27,34,38,49,2,10
2019,92,6,34,36,41,50,1,5
2019,93,11,12,13,39,46,7,10
2019,94,14,25,31,37,43,2,3
2019,95,3,21,26,41,46,1,6
2019,96,14,24,26,32,39,3,8
2019,97,1,6,13,15,16,6,10
2019,98,9,23,29,41,49,8,10
2019,99,5,6,16,30,46,5,10
2019,100,22,25,29,33,35,3,6
2019,101,1,19,31,39,48,1,6
2019,102,3,19,22,31,32,2,11
2019,103,7,11,19,27,37,6,10
2019,104,1,8,11,25,28,4,6
2020,0,7,32,39,40,45,3,8
2020,1,16,21,27,30,32,3,5
2020,2,2,10,16,42,50,4,11
2020,3,2,3,13,17,21,7,8
2020,4,9,13,21,29,35,1,2
2020,5,6,9,13,24,41,3,12
2020,6,1,4,21,24,46,2,12
2020,7,14,20,27,34,38,1,11
2020,8,14,20,29,47,49,4,12
2020,9,2,5,8,14,16,8,9
2020,10,25,33,38,42,50,8,12
2020,11,28,29,39,48,50,5,7
2020,12,16,19,25,30,44,2,6
2020,13,1,5,17,28,31,1,10
2020,14,3,19,29,32,38,5,12
2020,15,7,12,37,40,50,1,2
2020,16,5,7,18,20,30,6,7
2020,17,12,16,20,21,28,3,9
2020,18,13,15,28,32,44,3,12
2020,19,10,15,19,21,23,3,12
2020,20,5,6,15,37,42,3,4
2020,21,15,33,38,40,50,3,6
2020,22,5,14,38,41,46,1,10
2020,23,11,15,35,41,50,5,8
2020,24,4,21,36,41,47,9,11
2020,25,6,12,15,40,45,3,9
2020,26,4,14,16,41,44,11,12
2020,27,19,23,34,37,45,1,7
2020,28,16,25,28,39,40,1,6
2020,29,2,10,19,25,45,1,7
2020,30,16,20,25,30,38,6,8
2020,31,34,38,42,43,45,9,12
2020,32,2,9,31,35,41,9,12
2020,33,6,22,29,40,43,4,7
2020,34,4,8,10,33,46,8,11
2020,35,7,12,16,17,31,7,9
2020,36,7,18,30,37,39,8,10
2020,37,10,15,35,44,50,3,5
2020,38,6,12,17,34,42,5,12
2020,39,9,10,19,42,49,4,12
2020,40,8,13,14,42,50,3,9
2020,41,5,20,21,36,41,6,11
2020,42,1,2,5,15,42,5,8
2020,43,21,24,30,46,49,2,5
2020,44,9,13,15,17,34,2,7
2020,45,8,9,27,28,50,4,12
2020,46,14,15,24,29,42,2,4
2020,47,7,15,27,41,43,7,9
2020,48,11,22,30,37,47,9,10
2020,49,15,17,23,30,38,2,7
2020,50,12,16,23,33,41,8,10
2020,51,4,16,27,37,39,3,6
2020,52,1,6,11,28,42,2,10
2020,53,1,10,12,21,26,5,11
2020,54,2,12,19,46,49,1,8
2020,55,5,14,19,24,43,3,11
2020,56,4,9,11,17,39,2,10
2020,57,2,24,39,45,46,4,8
2020,58,5,15,27,36,46,2,8
2020,59,5,11,17,24,37,3,6
2020,60,10,12,22,26,49,7,11
2020,61,4,8,11,19,46,4,8
2020,62,4,9,14,21,27,4,6
2020,63,3,18,22,27,32,2,7
2020,64,5,25,32,37,43,6,7
2020,65,11,23,32,34,39,1,6
2020,66,9,16,29,37,39,4,11
2020,67,8,25,32,33,38,7,9
2020,68,2,10,22,27,41,2,3
2020,69,19,20,38,45,47,2,6
2020,70,15,23,26,28,32,1,5
2020,71,1,5,19,21,28,4,7
2020,72,10,11,14,23,28,6,8
2020,73,16,28,32,37,45,1,11
2020,74,6,29,34,35,40,4,11
2020,75,3,10,17,33,39,1,4
2020,76,4,5,14,33,48,7,12
2020,77,16,19,34,46,50,2,6
2020,78,12,17,24,30,36,1,9
2020,79,11,14,27,41,46,2,3
2020,80,7,12,26,30,33,10,11
2020,81,3,9,20,34,40,6,12
2020,82,5,7,8,16,20,2,12
2020,83,3,11,21,27,36,9,10
2020,84,11,23,30,37,43,5,12
2020,85,15,38,43,45,46,1,11
2020,86,4,14,27,44,45,1,10
2020,87,8,11,20,22,23,3,4
2020,88,1,4,18,27,42,4,6
2020,89,7,23,30,32,45,5,9
2020,90,11,32,34,38,47,2,10
2020,91,5,20,35,41,49,6,10
2020,92,24,26,32,43,46,6,10
2020,93,9,15,17,25,40,3,9
2020,94,21,23,33,35,47,6,7
2020,95,13,18,20,23,30,2,4
2020,96,1,19,27,31,38,4,5
2020,97,3,4,6,9,24,5,8
2020,98,10,11,24,36,46,3,5
2020,99,8,19,20,29,44,3,8
2020,100,21,25,29,39,44,8,9
2020,101,6,17,32,44,46,2,6
2020,102,5,8,12,37,43,6,11
2020,103,5,15,20,36,47,8,12
2021,0,6,12,22,29,33,6,11
2021,1,9,18,30,39,45,1,3
2021,2,4,12,25,46,48,7,12
2021,3,5,9,25,29,30,6,7
2021,4,7,23,30,32,36,8,12
2021,5,5,10,24,31,37,9,10
2021,6,12,19,37,44,45,2,6
2021,7,18,20,35,38,48,9,12
2021,8,1,5,27,36,42,1,6
2021,9,5,7,25,37,40,2,8
2021,10,8,16,42,44,47,6,7
2021,11,25,27,31,35,43,5,6
2021,12,4,10,27,38,40,3,11
2021,13,2,10,18,34,35,6,9
2021,14,18,23,37,41,42,4,6
2021,15,12,34,37,38,42,1,3
2021,16,16,28,32,44,48,1,9
