,,A,B,C,D,E,LStar1,LStar2
2016,0,8,10,22,29,47,1,3
2016,1,3,22,25,32,39,7,12
2016,2,4,16,20,39,46,2,5
2016,3,13,15,17,21,27,2,3
2016,4,6,10,30,41,45,4,11
2016,5,14,28,29,48,50,2,8
2016,6,6,12,28,37,40,1,5
2016,7,1,7,11,27,45,4,9
2016,8,6,11,23,31,32,2,12
2016,9,21,26,27,28,38,9,11
2016,10,5,11,17,23,28,10,11
2016,11,5,10,33,34,47,2,10
2016,12,3,12,27,32,47,6,8
2016,13,7,15,36,42,48,3,7
2016,14,3,22,23,38,49,2,9
2016,15,5,9,47,49,50,8,9
2016,16,7,11,12,44,48,3,7
2016,17,6,10,20,29,37,1,9
2016,18,10,16,19,23,43,2,8
2016,19,3,15,20,21,28,1,5
2016,20,9,20,23,44,48,8,10
2016,21,2,17,21,25,27,6,9
2016,22,7,13,19,31,34,1,11
2016,23,5,12,20,24,37,4,11
2016,24,2,12,20,27,30,9,11
2016,25,4,7,14,34,38,4,11
2016,26,17,35,37,43,44,2,10
2016,27,6,9,13,39,41,2,12
2016,28,14,16,39,42,49,3,9
2016,29,1,4,10,41,45,6,9
2016,30,5,8,14,22,32,2,11
2016,31,4,7,16,35,44,1,3
2016,32,4,11,15,17,28,1,3
2016,33,12,24,30,34,45,7,10
2016,34,8,16,32,40,50,2,11
2016,35,13,16,29,35,42,6,8
2016,36,1,9,28,30,48,7,8
2016,37,2,23,31,37,45,4,8
2016,38,5,6,22,25,34,5,7
2016,39,2,26,34,37,46,4,8
2016,40,2,15,28,36,50,2,11
2016,41,12,19,43,44,45,5,10
2016,42,16,19,24,35,37,2,7
2016,43,2,8,27,38,46,2,6
2016,44,1,21,26,40,50,2,4
2016,45,3,10,13,45,49,2,11
2016,46,7,24,26,37,45,5,9
2016,47,19,24,28,36,37,3,6
2016,48,2,11,13,14,21,1,8
2016,49,3,7,26,33,41,2,10
2016,50,8,12,18,33,44,4,8
2016,51,1,10,29,38,48,3,4
2016,52,2,11,13,40,50,1,10
2016,53,26,32,37,43,49,4,5
2016,54,11,19,27,28,39,3,10
2016,55,5,17,32,35,49,1,5
2016,56,1,7,18,27,43,4,8
2016,57,13,34,39,42,50,9,11
2016,58,14,21,35,42,43,7,9
2016,59,19,26,35,45,49,2,5
2016,60,7,23,31,33,39,6,10
2016,61,6,12,26,30,48,6,7
2016,62,13,25,27,43,46,4,8
2016,63,16,17,23,34,37,6,9
2016,64,9,14,30,41,45,4,9
2016,65,15,27,32,36,39,3,10
2016,66,7,15,28,31,42,10,11
2016,67,2,26,27,40,49,5,10
2016,68,32,34,40,45,48,1,10
2016,69,8,23,24,34,38,3,7
2016,70,4,5,25,28,43,6,11
